date,song_id,entries,exits,churn_rate,month
2024-05-18,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'Cha Cha Cha by Käärijä', 'La Fiesta by Pedro Capó', 'Que te vaya bien by Rvfv', ""T'as peur by Aya Nakamura"", 'RÁPIDO by Mora', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'MI DROGA by Myke Towers', 'Mami Chula by Jhayco & Quevedo', 'Paz by Morad', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', 'Niña Bonita by Feid & Sean Paul'}",0,0,0.0,2024-05
2024-05-19,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'Cha Cha Cha by Käärijä', 'La Fiesta by Pedro Capó', 'Que te vaya bien by Rvfv', ""T'as peur by Aya Nakamura"", 'RÁPIDO by Mora', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'MI DROGA by Myke Towers', 'Mami Chula by Jhayco & Quevedo', 'Paz by Morad', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', 'Niña Bonita by Feid & Sean Paul'}",0,0,0.0,2024-05
2024-05-20,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'Cha Cha Cha by Käärijä', 'La Fiesta by Pedro Capó', 'Que te vaya bien by Rvfv', ""T'as peur by Aya Nakamura"", 'RÁPIDO by Mora', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'MI DROGA by Myke Towers', 'Mami Chula by Jhayco & Quevedo', 'Paz by Morad', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', 'Niña Bonita by Feid & Sean Paul'}",0,0,0.0,2024-05
2024-05-21,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'Que te vaya bien by Rvfv', 'La Fiesta by Pedro Capó', ""T'as peur by Aya Nakamura"", 'RÁPIDO by Mora', 'TQG by KAROL G', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",4,4,0.08,2024-05
2024-05-22,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'Que te vaya bien by Rvfv', 'La Fiesta by Pedro Capó', 'RÁPIDO by Mora', 'TQG by KAROL G', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'DESPECHÁ by ROSALÍA', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",1,1,0.02,2024-05
2024-05-23,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'Que te vaya bien by Rvfv', 'La Fiesta by Pedro Capó', 'RÁPIDO by Mora', 'TQG by KAROL G', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'DESPECHÁ by ROSALÍA', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",0,0,0.0,2024-05
2024-05-24,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'Que te vaya bien by Rvfv', 'La Fiesta by Pedro Capó', 'RÁPIDO by Mora', 'TQG by KAROL G', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'DESPECHÁ by ROSALÍA', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",0,0,0.0,2024-05
2024-05-25,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'Que te vaya bien by Rvfv', 'La Fiesta by Pedro Capó', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Amanece by Anuel AA & Haze', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",2,2,0.04,2024-05
2024-05-26,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'AMARGURA by KAROL G', 'Que te vaya bien by Rvfv', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Amanece by Anuel AA & Haze', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",1,1,0.02,2024-05
2024-05-27,"{'REMIX EXCLUSIVO by Feid', 'Si La Calle Llama - Remix by Eladio Carrion', 'CHORRITO PA LAS ANIMAS by Feid', 'Arranca (feat. Omega) by Becky G & Omega', 'Las Bratz (Remix) by Aissa & JC Reyes & Saiko', 'Acróstico by Shakira', 'Hey Mor by Ozuna', 'MEMORIAS by Mora', 'Nochentera by Vicco', 'Clavaito by Chanel & Abraham Mateo', 'Todo Contigo by Álvaro De Luna', 'VAGABUNDO by Sebastian Yatra & Manuel Turizo & Beéle', 'Andando by Morad', 'MERCHO by LiL CaKe & Migrantes', 'Shakira: Bzrp Music Sessions, Vol. 53 by Bizarrap & Shakira', 'un x100to by Grupo Frontera & Bad Bunny', 'Cupido by TINI', 'Antes by Rvfv & Edu García', 'La Jumpa by Arcángel', 'BESO by ROSALÍA & Rauw Alejandro', 'Yandel 150 by Yandel', 'El Merengue by Marshmello & Manuel Turizo', 'Flowers by Miley Cyrus', 'Los Ángeles by Aitana', 'Polaris by Saiko', 'WANDA by Quevedo', 'Supernova by Saiko', 'Coco Chanel by Eladio Carrion', 'Quevedo: Bzrp Music Sessions, Vol. 52 by Bizarrap & Quevedo', 'Ella Baila Sola by Eslabon Armado', 'WHERE SHE GOES by Bad Bunny', 'AMARGURA by KAROL G', 'La Fiesta by Pedro Capó', 'Que te vaya bien by Rvfv', 'TQG by KAROL G', 'No Estuviste En Lo Malo by Morad', 'Mi Nena Remix by Maikel Delacalle & Quevedo', 'Arena y Sal by Omar Montes & Saiko & Tunvao', 'EL TONTO by Lola Indigo', 'PLAYA DEL INGLÉS by Quevedo', 'Rara Vez by Taiu & Milo j', 'VISTA AL MAR by Quevedo', 'PUNTO G by Quevedo', 'La Bachata by Manuel Turizo', 'Mami Chula by Jhayco & Quevedo', 'La Bebe - Remix by Yng Lvcas & Peso Pluma', 'Tattoo by Loreen', 'Classy 101 by Feid & Young Miko', '69 by Nicky Jam & Feid', 'Niña Bonita by Feid & Sean Paul'}",1,1,0.02,2024-05
