song_id,entry_date,exit_date,total_days,peak_position,peak_date,time_to_peak
0 confianza_rvfv,2025-06-02,2025-06-23,22,23,2025-06-07,5
"1 de enero, puntacana_rels b",2025-04-28,2025-04-28,1,45,2025-04-28,0
1000cosas_lola indigo & manuel turizo,2025-03-10,2025-11-13,249,3,2025-03-10,0
100xciento_foreign teck & eladio carrion & de la ghetto,2025-04-30,2025-05-15,16,13,2025-05-11,11
14 febreros_quevedo,2025-11-24,2025-11-27,4,9,2025-11-24,0
2am_sebastian yatra & bad gyal,2025-11-24,2025-11-27,4,31,2025-11-27,3
2xll_jc reyes & yovngchimi & slayter,2025-07-12,2025-08-09,29,35,2025-07-23,11
3 caídas_saiko,2025-04-28,2025-05-05,8,13,2025-04-28,0
4 prez_cruz cafuné,2024-05-28,2024-05-29,2,35,2024-05-28,0
4to 23_aitana,2025-07-07,2025-07-16,10,17,2025-07-07,0
50 palos_feid,2024-12-02,2024-12-02,1,38,2024-12-02,0
57_karol g & feid & dfzm,2025-11-10,2025-11-27,18,8,2025-11-10,0
58_jhayco,2025-09-08,2025-09-18,11,35,2025-09-08,0
69_nicky jam & feid,2024-05-21,2024-06-30,41,22,2024-05-31,10
a 300_jc reyes & pedro calderon,2024-08-06,2025-01-05,153,15,2025-01-05,152
a 300_jc reyes & pedro calderon & blacknife,2025-01-06,2025-04-24,109,11,2025-01-14,8
a new star (2 0 2 4)_rels b,2025-05-09,2025-05-30,22,32,2025-05-16,7
acho pr_bad bunny,2024-10-14,2024-10-20,7,15,2024-10-14,0
acróstico_shakira,2024-05-18,2024-07-09,53,1,2024-05-19,1
adivino_myke towers,2025-08-24,2025-11-16,85,10,2025-08-24,0
adivino_myke towers & bad bunny,2025-04-28,2025-08-23,118,1,2025-04-28,0
akureyri_aitana & sebastian yatra,2025-04-28,2025-06-01,35,10,2025-04-28,0
alakran_feid,2024-12-02,2024-12-05,4,24,2024-12-02,0
alegría_tiago pzk,2025-09-28,2025-10-05,8,8,2025-10-02,4
all i want for christmas is you_mariah carey,2024-12-03,2025-01-02,31,1,2024-12-25,22
alucin_eugenio esquivel & grupo marca registrada & sebastian esquivel,2025-01-13,2025-04-05,83,21,2025-03-22,68
amanece_anuel aa & haze,2024-05-25,2025-07-06,408,47,2024-06-23,29
amaneció_quevedo,2025-11-24,2025-11-27,4,13,2025-11-24,0
amar de nuevo_rauw alejandro,2025-11-17,2025-11-17,1,45,2025-11-17,0
amargura_karol g,2024-05-26,2025-10-31,524,16,2025-07-26,426
andando_morad,2024-05-18,2024-06-03,17,34,2024-05-19,1
antes_rvfv & edu garcía,2024-05-18,2024-07-22,66,29,2024-05-18,0
antidepresivos_saiko,2024-08-06,2024-12-19,136,13,2024-08-06,0
apaga el cel_floyymenor,2025-08-10,2025-09-04,26,22,2025-08-10,0
apaga el cel_floyymenor & lewis somes,2025-05-26,2025-08-09,76,7,2025-06-12,17
apt._rosé & bruno mars,2025-10-23,2025-11-01,10,42,2025-10-30,7
aqyne_aitana,2024-09-27,2024-09-29,3,40,2024-09-28,1
arena y sal_omar montes & saiko & tunvao,2024-05-21,2025-01-20,245,3,2024-08-06,77
arranca (feat. omega)_becky g & omega,2024-05-18,2024-07-25,69,38,2024-05-18,0
asi es la vida_enrique iglesias & maria becerra,2024-11-22,2025-03-23,122,38,2025-01-31,70
attitude (feat. charlie wilson & cash cobain)_don toliver,2025-06-21,2025-06-21,1,46,2025-06-21,0
aunque llegue otro (feat. jay wheeler)_myke towers,2025-08-24,2025-08-24,1,23,2025-08-24,0
ayer y hoy_mora,2024-08-30,2024-08-31,2,23,2024-08-30,0
ayer_dellafuente,2025-06-16,2025-06-18,3,37,2025-06-16,0
baby hello_rauw alejandro,2024-07-09,2025-04-19,285,3,2024-07-09,0
baby hello_rauw alejandro & bizarrap,2024-06-25,2024-07-08,14,2,2024-06-28,3
baby nueva_bad bunny,2024-10-14,2024-10-28,15,12,2024-10-14,0
bad boy_chris jedi & gaby music & dei v,2025-02-11,2025-03-10,28,16,2025-02-11,0
badgyal_saiko,2025-04-28,2025-11-23,210,1,2025-05-01,3
bailando bachata_chayanne,2025-05-13,2025-06-02,21,45,2025-06-01,19
baja pa' acá_rauw alejandro,2025-11-17,2025-11-20,4,22,2025-11-17,0
bandidona_saiko,2024-10-29,2024-11-10,13,20,2024-10-29,0
bandit_don toliver,2025-06-21,2025-06-21,1,27,2025-06-21,0
barro_duki,2025-10-20,2025-10-20,1,40,2025-10-20,0
baticano_bad bunny,2024-10-14,2024-10-18,5,23,2024-10-14,0
bby boo - remix_izaak & jhayco & anuel aa,2025-03-30,2025-07-23,116,5,2025-04-18,19
beautiful things_benson boone,2025-03-13,2025-06-23,103,17,2025-04-04,22
